Depth,N,C,S,SiO2bio,SiO2ter,OM,MM,CaCO3,TOC,TOC_N,microcharcoal,P,Na,K,Ca,Mg,Fe,Mn,Cu,Zn ,Fe_Mn,Na_K,Cu_Zn,Ca_Fe,Fe_S,erosion,Ca_Mg,TOCS,Fe_P
0.0000,2.7271,36.0308,0.9297,4.7400,14.9536,71.8464,28.1536,8.4600,35.6462,15.2496,23008.0000,1.1379,0.2282,3.7959,18.9764,3.9045,12.4795,0.0719,19.8265,157.8598,173.6256,0.0601,0.1256,1.5206,1.3423,0.4178,4.8601,38.3408,10.9673
0.0200,2.2507,31.2118,0.7653,4.1200,29.8495,61.7994,38.2006,4.2311,31.2118,16.1791,20123.0000,1.2712,0.2787,4.1221,16.2234,4.4420,13.7827,0.0688,19.7287,152.4398,200.4405,0.0676,0.1294,1.1771,1.8010,0.5451,3.6523,40.7853,10.8423
0.0400,1.8981,26.8768,0.6445,4.3400,37.4964,55.4636,44.5364,2.7000,26.6776,16.3973,27656.0000,1.6384,0.3509,5.4318,14.7125,5.2725,14.1782,0.0665,19.0367,174.4057,213.3424,0.0646,0.1092,1.0377,2.1998,0.7514,2.7905,41.3917,8.6536
0.0600,2.0397,28.8058,0.7084,4.4500,37.2509,55.3070,44.6930,2.9921,28.8058,16.4763,21125.0000,1.4738,0.3130,5.2231,15.2293,5.0299,14.1299,0.0602,19.2293,174.9823,234.6347,0.0599,0.1099,1.0778,1.9945,0.6938,3.0278,40.6616,9.5874
0.0800,2.0611,31.6027,0.7601,4.5100,29.0070,62.1630,37.8370,4.3200,31.2728,17.7017,18567.0000,1.3251,0.2897,4.9348,15.3553,4.9937,14.0685,0.0540,19.8764,176.7241,260.4892,0.0587,0.1125,1.0915,1.8508,0.6654,3.0749,41.1415,10.6166
0.1000,2.2173,32.5758,0.7879,4.6200,26.9736,64.1743,35.8257,4.2321,32.5758,17.1401,19223.0000,1.1212,0.2433,4.2231,16.2232,4.2393,13.7726,0.0547,19.4583,163.0291,251.6641,0.0576,0.1194,1.1779,1.7481,0.5366,3.8269,41.3461,12.2836
0.1200,2.2672,36.7597,0.8525,4.7100,20.1737,70.2563,29.7437,4.8600,36.4965,18.7808,17675.0000,1.0657,0.2291,3.6009,17.2740,3.9702,12.6670,0.0554,18.1903,167.9334,228.7704,0.0636,0.1083,1.3637,1.4859,0.4516,4.3509,42.8131,11.8866
0.1400,1.7243,27.5472,0.6319,3.2400,32.3112,58.1246,41.8754,6.3242,27.5472,18.6383,19457.0000,1.7820,0.3783,4.2218,17.0291,5.2121,14.5837,0.0579,18.7726,220.0029,251.9530,0.0896,0.0853,1.1677,2.3080,0.5762,3.2672,43.5957,8.1839
0.1600,1.3751,22.3548,0.6006,3.1200,40.5422,46.6178,53.3822,9.7200,22.0583,18.7154,27112.0000,2.0906,0.4220,6.8360,16.4411,7.0780,17.1117,0.0629,18.8341,224.9618,272.2385,0.0617,0.0837,0.9608,2.8492,0.8720,2.3229,36.7281,8.1851
0.1800,1.0370,18.5604,0.5382,3.0200,49.7836,38.4200,61.5800,8.7764,18.5604,20.8804,28829.0000,2.0120,0.4783,7.1223,14.5592,7.2321,18.1109,0.0678,18.7726,212.0832,266.9765,0.0672,0.0885,0.8039,3.3653,1.0188,2.0131,34.4883,9.0015
0.2000,0.8392,14.8988,0.4643,2.7800,56.7307,31.8493,68.1507,8.6400,14.5762,20.2644,28127.0000,1.7355,0.5352,8.0982,12.2908,7.7366,18.2458,0.0728,18.5619,216.9398,250.7893,0.0661,0.0856,0.6736,3.9296,1.3319,1.5887,31.3931,10.5135
0.2200,1.5471,27.3290,0.8374,3.4500,29.4848,56.8442,43.1558,10.2210,27.3290,20.6084,21002.0000,1.4372,0.4121,8.0029,18.2871,7.0091,14.0291,0.0624,19.2220,198.2983,224.8880,0.0515,0.0969,1.3035,1.6753,0.8434,2.6090,32.6343,9.7614
0.2400,1.8301,30.8657,0.9541,4.2100,19.6699,63.0161,36.9839,13.1040,30.5308,19.4629,19738.0000,0.9270,0.3076,6.5532,21.4984,6.0462,13.2434,0.0435,21.9377,174.5744,304.3745,0.0469,0.1257,1.6233,1.3880,0.6004,3.5557,31.9980,14.2867
0.2600,1.7874,27.9676,0.9549,4.0800,26.5398,57.6132,42.3868,11.7670,27.9676,18.2552,24783.0000,0.9021,0.3129,7.4595,20.2298,6.6527,15.0029,0.0413,22.4837,176.0293,363.3545,0.0419,0.1277,1.3484,1.5712,0.7131,3.0409,29.2898,16.6307
0.2800,1.7167,28.7647,0.9110,4.0200,29.0464,59.3376,40.6624,7.5960,28.3712,19.2815,16009.0000,0.7008,0.3275,8.2166,18.3084,6.8166,14.6203,0.0433,24.9595,128.1763,337.5004,0.0399,0.1947,1.2523,1.6048,0.8390,2.6858,31.1424,20.8613
0.3000,1.5268,30.4401,0.8680,3.7600,30.4101,59.0537,40.9463,6.7762,30.4401,23.2601,15738.0000,0.3238,0.2218,6.5542,12.3483,4.2982,8.0928,0.0370,18.7212,87.2982,218.5526,0.0338,0.2145,1.5258,0.9323,0.8968,2.8729,35.0678,24.9925
